,Symbol,Price,One-Year Price Return,Number of Shares to Buy
143,DVN,40.3,1.59355669497124,49
201,FTNT,348.38,1.475355637853258,5
311,MCHP,88.11,1.4564629008030137,22
294,MRO,15.29,1.261011505528242,129
145,FANG,106.56,1.2554755714230634,18
342,NUE,119.0,1.2196556965055751,16
200,F,20.01,1.1947826612176973,99
343,NVDA,278.58,1.1171357828749224,7
210,IT,323.26,1.0794898500879377,6
315,MRNA,302.8,1.0535601539371933,6
61,BBWI,72.1,1.0062964735942819,27
186,EXR,221.09,0.9672230374240564,8
48,ANET,135.34,0.8946523702008083,14
258,IRM,52.12,0.868971651981533,38
412,SPG,158.27,0.8257118571467766,12
314,MAA,227.79,0.8156856020158039,8
422,SIVB,682.97,0.7988241779175355,2
100,CF,67.61,0.7819184737924325,29
348,ODFL,343.77,0.7780141917793504,5
397,RHI,107.62,0.7470200943968182,18
46,AMAT,146.51,0.7096249004585041,13
55,AZO,2074.77,0.7096189773139767,0
264,JCI,77.41,0.704595663698464,25
173,EOG,88.0,0.702385272472853,22
124,COP,70.78,0.7001518308724303,28
17,ALB,230.44,0.6858061307895175,8
485,WFC,49.7,0.6674643326106955,39
299,MLM,451.01,0.6665261400353268,4
24,GOOG,2961.07,0.6646194665535161,0
122,CMA,85.76,0.6635577942300213,23
487,WST,458.28,0.6552466163460133,4
23,GOOGL,2952.4,0.6549148881647939,0
377,PLD,161.47,0.6517712688210808,12
253,INTU,647.43,0.650759286848751,3
102,SCHW,85.14,0.6394626128684563,23
365,PFE,62.28,0.639244681110204,31
211,GNRC,375.11,0.6361211356248061,5
441,MOS,37.79,0.6199782723997042,52
386,PWR,113.23,0.611633457088203,17
381,PSA,368.87,0.6112573859083317,5
194,FITB,43.76,0.6096791446268773,45
369,PXD,180.39,0.597678434958331,10
446,TSCO,227.02,0.5973994049012271,8
252,IPG,37.78,0.5961142144290315,52
220,GS,395.5,0.592595373114368,5
93,CBRE,101.79,0.5895680797055141,19
295,MPC,64.0,0.588556412233139,31
325,NDAQ,204.23,0.587053596161911,9
437,TXT,77.12,0.582928739654993,25
224,HCA,256.3,0.582119104519885,7
266,JNPR,34.3,0.5810389001897508,57
35,AMP,301.59,0.5782531337927683,6
455,UDR,60.77,0.577815713303559,32
169,LLY,273.56,0.5773078197714968,7
389,RJF,100.23,0.5744325258731162,19
271,KIM,23.8,0.5742480514740957,83
159,DRE,63.78,0.5734874208932395,31
392,REG,74.76,0.573421855482694,26
500,ZBRA,605.15,0.5729519858825433,3
207,FCX,39.0,0.5696227945780297,50
85,COF,149.42,0.569087012423401,13
60,BAC,45.33,0.5689366625968946,43
56,AVB,252.04,0.5668870588685775,7
351,ORCL,97.71,0.5645491934556681,20
322,MS,99.44,0.5633210265309287,19
269,KEYS,201.9,0.5625231982714652,9
323,MSI,261.42,0.5620838662603073,7
374,PFG,73.0,0.5610602273819861,27
290,LOW,260.12,0.5575871243012372,7
236,HPQ,37.27,0.5554101863047071,53
144,DXCM,571.14,0.5519226576582326,3
350,OKE,59.36,0.551002515139661,33
77,AVGO,653.37,0.5491403954658075,3
273,KLAC,406.35,0.5435012466828206,4
371,POOL,545.99,0.5411728857263739,3
67,TECH,491.57,0.5273662320894623,4
5,ACN,415.94,0.5239504418285686,4
176,EQR,88.54,0.5226122766644234,22
277,LH,310.92,0.52004292822174,6
502,ZION,63.5,0.5186533424264321,31
257,IQV,280.39,0.5167883118306132,7
243,INFO,131.63,0.5126715670363464,15
130,COST,565.31,0.5126039649502182,3
287,LKQ,57.11,0.511837415525154,34
191,FRT,133.24,0.5098383428858819,14
313,MSFT,334.7,0.5095978353296481,5
346,ORLY,690.46,0.5051415090579099,2
439,HIG,69.6,0.504851822355207,28
135,CVS,102.15,0.5009149692036775,19
268,KEY,23.19,0.4994375642406519,85
1,AOS,81.72,0.4944984584470702,24
476,VMC,212.75,0.4920094035122913,9
101,CRL,372.78,0.4816459175560801,5
70,BK,59.4,0.4809342068347608,33
9,AAP,240.03,0.4799497580167064,8
275,KR,46.44,0.4772186465763149,42
177,ESS,350.38,0.4722137613330432,5
195,FRC,199.42,0.4702145253587977,9
403,SPGI,470.48,0.4692340433998312,4
408,SEE,65.02,0.4674775740631459,30
187,XOM,62.15,0.4668180154773025,31
347,OXY,28.48,0.465003323733467,69
462,URI,339.32,0.4632890550282344,5
163,ETN,167.09,0.46185206593101374,11
92,CBOE,133.21,0.46097595586179424,14
32,AIG,55.11,0.4596855538134933,36
231,HD,389.73,0.458539455611326,5
298,MMC,173.3,0.4578007664598574,11
503,ZTS,240.58,0.4516494948066406,8
463,UNH,493.12,0.4480312479549596,4
42,ANTM,446.5,0.4466557697708681,4
174,EFX,279.25,0.4430752694440063,7
387,DGX,178.1,0.442971168672698,11
423,SYF,47.97,0.439824572781266,41
411,SHW,345.84,0.4365295892051786,5
79,BRO,67.75,0.4350588379150844,29
435,TSLA,953.98,0.4336623849747841,2
319,MPWR,501.8,0.4333321215061584,3
10,AMD,144.43,0.4326532011314816,13
395,RSG,139.21,0.43196520187103,14
167,EW,124.94,0.4301066104125505,15
94,CDW,194.97,0.4299191225489568,10
216,GPC,133.89,0.428826310295343,14
378,PRU,105.46,0.4277953423969882,18
136,DHI,105.44,0.4225048962280168,18
444,TMO,675.3,0.4223000600241651,2
286,LYV,105.65,0.4219948209749578,18
321,MCO,406.93,0.4211337157758817,4
326,NTAP,91.77,0.418547023831248,21
82,CDNS,184.95,0.4183705249550802,10
394,RF,21.45,0.4177317455105206,92
345,NXPI,218.93,0.4170376939205563,9
137,DHR,321.99,0.4122222132456137,6
398,ROK,345.61,0.4094995279621085,5
370,PNC,202.58,0.4091242816500663,9
259,JBHT,196.1,0.40874734080226366,10
429,TPR,41.74,0.40821124264092,47
43,AON,292.55,0.4052105953257116,6
309,MTD,1611.51,0.40440983910241424,1
482,WM,163.34,0.4030117278080745,12
111,CSCO,62.44,0.4014874981711709,31
456,ULTA,390.77,0.4009004366896698,5
483,WAT,348.43,0.3993920245194333,5
447,TT,194.44,0.3980846189318467,10
155,DOV,175.17,0.3976312359594655,11
185,EXPD,134.18,0.3969205594797989,14
424,SNPS,352.57,0.3940696236254376,5
278,LRCX,679.66,0.3938846827267889,2
206,BEN,34.19,0.3905210601495517,58
87,KMX,139.92,0.3885027885922489,14
109,CINF,118.0,0.3855419439464965,16
212,GD,209.5,0.3832260227059316,9
196,FE,40.08,0.37900698860741294,49
362,PBCT,17.25,0.3785707201309557,115
57,AVY,213.7,0.3777285158057711,9
89,CARR,53.21,0.3752851764115992,37
284,LNC,66.62,0.3716909183950469,29
310,MGM,43.88,0.3702574904959583,45
113,CFG,47.36,0.36928861303470073,41
431,TEL,159.93,0.3684231417408103,12
324,MSCI,592.68,0.3679984837121062,3
7,ADM,65.34,0.3617156346707454,30
31,AXP,165.89,0.3608522863186023,11
305,MCK,242.68,0.3607238199163222,8
265,JPM,157.7,0.3598887933205904,12
154,DPZ,534.82,0.3594980787862987,3
453,TSN,85.56,0.35815793599371304,23
361,PNR,71.4,0.3547254396077532,27
308,MET,62.18,0.352236375195661,31
283,LEN,106.38,0.3509245628728008,18
104,CVX,118.4,0.34956150173555295,16
344,NVR,5804.1,0.34927724960953915,0
229,HLT,144.54,0.34706560018755,13
405,SBAC,376.93,0.3440791405820814,5
45,AAPL,177.22,0.3438442175683549,11
419,STT,95.6,0.3437015975411988,20
357,PAYX,127.51,0.3405367489011845,15
140,DE,362.89,0.3404321826501482,5
96,CNC,85.96,0.3383819343679211,23
188,FFIV,236.0,0.338293211654247,8
255,IVZ,23.42,0.33692653967741637,84
132,CCI,204.89,0.3346912249249719,9
427,TROW,198.7,0.3290311614576678,9
147,DFS,118.49,0.3286937827261338,16
215,GM,55.19,0.3262724386851879,35
364,PKI,194.28,0.3256015678365959,10
178,EL,362.01,0.3250524946000755,5
54,ADP,240.07,0.324913535011022,8
285,LIN,334.96,0.324683960389307,5
497,XLNX,202.17,0.3232137708902383,9
69,BLK,941.5,0.32300506903314735,2
146,DLR,175.16,0.3215317328571313,11
434,TER,158.5,0.32114912459686035,12
430,TGT,228.92,0.3185322301177355,8
204,FOXA,38.52,0.3178333154445401,51
337,NTRS,119.0,0.3164017091130773,16
486,WELL,83.5,0.3157390752225034,23
161,DXC,31.65,0.3138927032457521,62
250,IFF,145.82,0.3114216994905186,13
64,BRK.B,299.45,0.3112219138268688,6
183,EXC,54.11,0.3108695823686895,36
291,LUMN,12.88,0.3087819404285502,154
12,AFL,59.28,0.3028513688255846,33
49,AJG,165.7,0.302307165764771,11
254,ISRG,350.6,0.300012021229023,5
353,OTIS,86.6,0.2968737054411307,22
449,TRMB,85.47,0.29665496482759,23
3,ABBV,133.09,0.295934539916112,14
242,IDXX,640.6,0.29423392764018175,3
465,VLO,69.06,0.2934122310132502,28
2,ABT,141.92,0.2921661298157543,13
247,IR,60.28,0.2917971675733743,32
33,AMT,279.13,0.2912278160882711,7
289,L,58.44,0.2911497122971366,33
36,ABC,129.8,0.2896528548155877,15
181,EVRG,67.57,0.2890743020053847,29
190,FAST,62.61,0.2883247790451923,31
13,A,158.98,0.28823160393351,12
420,STE,238.53,0.2872501909844777,8
227,HES,73.09,0.2865226173192985,27
228,HPE,15.56,0.28366139843990823,127
261,J,140.71,0.28237509328759486,14
184,EXPE,165.35,0.28229446184491913,11
406,SLB,29.19,0.281721413089093,67
47,APTV,166.14,0.280884492161855,11
217,GILD,75.81,0.2797097707154695,26
339,NLOK,26.91,0.2796467369772879,73
97,CNP,27.55,0.2781355666872903,72
454,USB,57.02,0.2745658904546678,34
338,NOC,386.16,0.2743176706667799,5
493,WMB,26.22,0.2691977513159015,75
316,MHK,177.84,0.2689328631390743,11
106,CB,194.02,0.2678258936863891,10
39,APH,84.78,0.2660964575121039,23
440,HSY,196.84,0.26548320505999,10
116,CME,233.84,0.2642525235060236,8
336,NSC,292.26,0.26355144863884217,6
110,CTAS,446.05,0.26287108176344054,4
414,SNA,213.88,0.2621320434378022,9
44,APA,24.78,0.2610612553177909,80
66,BIO,762.52,0.2610230564405433,2
450,TFC,57.69,0.2595327209854368,34
238,HBAN,15.04,0.2568754501736503,131
304,MCD,271.9,0.2534938323847503,7
341,NRG,41.42,0.2525533363628379,47
393,REGN,620.43,0.2507670538203523,3
480,WBA,49.21,0.24956177968089296,40
18,ARE,221.29,0.2436941802306706,8
331,NWS,21.9,0.241880993272915,90
95,CE,166.95,0.2411252158458894,11
492,WHR,234.49,0.24069954017195289,8
205,FOX,34.58,0.2395739014834677,57
332,NEE,93.91,0.2392593615300268,21
34,AWK,186.25,0.2337656501598853,10
459,UNP,246.27,0.2333321737157488,8
499,YUM,134.81,0.2332257085979652,14
477,WRB,82.0,0.23065093151890922,24
164,EBAY,65.7,0.2262023225559105,30
478,GWW,494.17,0.2249132261218322,4
335,NI,27.04,0.2230690549464073,73
300,MAS,66.84,0.2210964053065448,29
262,SJM,142.54,0.2204472672512464,13
189,FB,339.1,0.2202770407277923,5
90,CTLT,125.61,0.22007772327381026,15
479,WAB,93.11,0.2187191876791067,21
25,MO,48.7,0.21678419678900862,40
293,MTB,153.75,0.2146234532414402,12
330,NWSA,21.36,0.2137176891247556,92
461,UPS,206.83,0.2121019454089936,9
152,DLTR,140.14,0.20787607775029263,14
125,ED,86.63,0.20648372344166707,22
385,QCOM,184.1,0.20644042510994678,10
40,ADI,174.98,0.20609754527805688,11
133,CSX,36.61,0.2043420632859988,54
138,DRI,141.99,0.20424805584961214,13
249,ICE,137.59,0.2030238033442674,14
37,AME,141.5,0.20223110599810906,14
457,UAA,21.0,0.2018860965219311,94
349,OMC,76.22,0.2014043181043609,26
105,CMG,1748.22,0.200492935145158,1
363,PEP,172.3,0.19727611123473923,11
382,PHM,55.13,0.1964320431588636,35
390,RTX,84.73,0.1942156303708524,23
162,EMN,124.06,0.1937578017688106,15
396,RMD,253.62,0.192745422226776,7
222,HBI,16.64,0.1925928463929635,119
21,LNT,61.04,0.19213022774791305,32
225,PEAK,36.3,0.1914313106580678,54
491,WY,41.24,0.19075569197927875,48
74,BXP,117.1,0.1891454391996113,16
244,ITW,241.28,0.1887148908486633,8
78,BR,183.78,0.186535982986157,10
127,CPRT,149.72,0.18336551552083208,13
179,ETSY,226.6,0.18051700955179067,8
175,EQIX,837.12,0.17976117228593,2
129,CTVA,46.49,0.17940683534362484,42
442,TRV,161.05,0.17655006320705544,12
436,TXN,187.0,0.1758009989797241,10
498,XYL,116.14,0.1756924475068638,17
158,DUK,104.19,0.1736434971681778,19
241,IEX,230.06,0.17272819161016098,8
375,PG,161.25,0.1703411553866986,12
272,KMI,15.6,0.17008435438429226,127
458,UA,18.46,0.16790169468709887,107
214,GIS,68.64,0.1662998203357628,28
