,Symbol,Price,One-Year Price Return,Number of Shares to Buy
0,DVN,39.3,1.683237372931096,50
1,MCHP,84.93,1.523498014636558,23
2,MRO,15.8,1.3237397543717335,125
3,FANG,103.76,1.305540954934342,19
4,FTNT,349.58,1.2935688879865457,5
5,NUE,118.0,1.250852714020058,16
6,F,20.39,1.242961658474041,97
7,MRNA,307.3,1.129081976982258,6
8,NVDA,278.06,1.0998215078050444,7
9,IT,321.72,1.0328600363748803,6
10,BBWI,72.4,1.029741097524743,27
11,EXR,225.51,0.998832777114736,8
12,SPG,152.47,0.9070145766255671,13
13,ANET,138.65,0.8808852240062728,14
14,SIVB,683.58,0.8677825225133136,2
15,MAA,221.58,0.8547790864291223,8
16,IRM,52.93,0.8492286326633439,37
17,CF,65.7,0.7838065619197782,30
18,RHI,109.04,0.7510663827162142,18
19,ODFL,345.23,0.7386820576155231,5
20,COP,69.57,0.7339985642055621,28
21,EOG,85.0,0.7271488765405342,23
22,AZO,2014.73,0.720671802027119,0
23,JCI,77.59,0.7171215275557633,25
24,AMAT,151.64,0.714773381077968,13
25,WFC,49.32,0.706879683466986,40
26,PLD,161.85,0.70171553659573,12
27,GOOG,2997.61,0.6821495810868721,0
28,ALB,230.27,0.6780954340729148,8
29,GOOGL,2881.0,0.6627914630510341,0
30,GNRC,374.78,0.6593809979211072,5
31,FITB,43.68,0.6589329056435808,45
32,CMA,85.56,0.6576786091249449,23
33,PFE,59.95,0.6549281958271909,33
34,INTU,639.57,0.6539800685335481,3
35,WST,460.89,0.6405629894467857,4
36,KIM,23.46,0.636118276442478,84
37,PSA,362.26,0.6285266893659288,5
38,UDR,59.85,0.6276156310069855,33
39,SCHW,85.22,0.6266644479738149,23
40,DRE,64.39,0.6266518685688331,30
41,GS,397.8,0.621629175300345,4
42,PWR,111.66,0.6207165967683493,17
43,AMP,306.78,0.620649700393784,6
44,REG,72.92,0.6164650584236754,27
45,CBRE,103.62,0.615139435627932,19
46,PXD,176.29,0.611983464696292,11
47,NDAQ,209.07,0.611240286314911,9
48,COF,145.3,0.6081703038379638,13
49,MPC,64.59,0.6023946936213006,30
50,AVB,256.56,0.6015197828630657,7
51,ZBRA,616.95,0.601122601863589,3
52,EQR,87.66,0.5964091568408895,22
53,LLY,271.46,0.5935762883770361,7
54,IPG,37.23,0.5931976997040084,53
55,MLM,444.19,0.5931466322322518,4
56,TXT,74.65,0.5859750028797855,26
57,HCA,258.0,0.582856654572151,7
58,FCX,39.0,0.5801770926362161,50
59,RJF,98.24,0.5767273695854087,20
60,MOS,37.25,0.5759343936494878,53
61,PFG,72.26,0.5723933710144371,27
62,MS,100.99,0.571667688330825,19
63,BAC,45.69,0.5650261593057186,43
64,TSCO,230.55,0.5643437984290409,8
65,OKE,58.03,0.5627383366330326,34
66,DXCM,580.46,0.5620269491009326,3
67,LOW,254.24,0.5570117938410581,7
68,LKQ,55.78,0.5529563110531157,35
69,JNPR,35.13,0.5518662110820396,56
70,KEYS,199.1,0.5488460740535676,9
71,MSI,270.9,0.5438965076802091,7
72,FRT,130.81,0.5416804922054387,15
73,HPQ,38.33,0.5337001183736307,51
74,ZION,63.5,0.5319852222973309,31
75,ORCL,99.71,0.5317300112789124,19
76,KLAC,407.93,0.5317283237822548,4
77,OXY,29.35,0.530668608910279,67
78,KEY,22.54,0.517150071137991,88
79,LH,318.19,0.5152459955665852,6
80,XOM,60.73,0.514860784567298,32
81,ORLY,681.32,0.5137517621482275,2
82,COST,560.53,0.5123033552766332,3
83,ACN,404.34,0.5110756804339011,4
84,INFO,134.31,0.506358390900828,14
85,ESS,354.22,0.5036014810246751,5
86,MSFT,332.0,0.5033336984182945,5
87,AVGO,654.06,0.5011343183800052,3
88,POOL,552.92,0.5006253133040688,3
89,IQV,279.55,0.49965030378618,7
90,AOS,82.4,0.497055184364215,24
91,SYF,48.74,0.494141381878265,40
92,CVS,104.99,0.4941227597418105,18
93,MMC,174.0,0.49097191505553495,11
94,AIG,54.54,0.4859093230583758,36
95,TECH,480.56,0.4857881778159257,4
96,KR,46.91,0.485649445165553,42
97,URI,347.84,0.4829370003191998,5
98,AAP,236.24,0.4810092780943115,8
99,FRC,209.2,0.47533955072580764,9
100,CRL,372.14,0.4747264422443799,5
101,HD,400.72,0.4733582700571071,4
102,SPGI,478.88,0.4721532687424419,4
103,UNH,510.91,0.4695712320882447,3
104,ANTM,460.7,0.4679285538684211,4
105,TPR,41.58,0.4644646595022066,47
106,BK,59.9,0.462528536114607,33
107,PRU,107.35,0.4597310793287484,18
108,HIG,70.4,0.4563247884750168,28
109,CBOE,133.34,0.4559172601595803,14
110,DGX,176.9,0.45464595759337806,11
111,ETN,166.36,0.45141105929784353,11
112,SEE,66.24,0.4477378662410716,29
113,BRO,66.36,0.4477041222696642,29
114,ZTS,237.85,0.4476762407795197,8
115,LYV,105.63,0.4458296603545876,18
116,AMD,140.46,0.4417416875546193,14
117,RF,21.46,0.4412523098539286,92
118,AON,303.44,0.438854113582031,6
119,RSG,137.98,0.4371880952723433,14
120,ULTA,384.77,0.4339162741736239,5
121,CDW,196.66,0.4321058664672579,10
122,EFX,289.6,0.4314684319942936,6
123,DHI,105.72,0.4261084851189705,18
124,EW,127.39,0.4240925432951988,15
125,NXPI,227.15,0.4238101005595676,8
126,SHW,349.43,0.4227354364987741,5
127,VMC,214.78,0.4226795343070499,9
128,GPC,138.15,0.4219449069352792,14
129,LRCX,690.85,0.4202149867861323,2
130,KMX,140.07,0.4168044278713193,14
131,ROK,354.17,0.4109530662307433,5
132,LNC,66.42,0.405972450030267,29
133,DHR,321.3,0.4043143244941949,6
134,PNC,203.07,0.4043070456899693,9
135,MCO,411.47,0.404242431652246,4
136,MTD,1637.06,0.4031651277290862,1
137,TMO,681.55,0.4027572972987192,2
138,NTAP,89.56,0.4007416961812822,22
139,MPWR,485.28,0.3997360225357603,4
140,TT,196.87,0.399620818871554,10
141,WM,167.94,0.3977200154327535,11
142,CINF,118.0,0.3972008249336932,16
143,WAT,350.2,0.3948329147890728,5
144,DOV,171.51,0.3947028702800019,11
145,CFG,45.81,0.3941141504789893,43
146,PBCT,17.02,0.3927278217809275,116
147,AXP,162.44,0.391591785603462,12
148,JBHT,199.6,0.3907019770792243,9
149,BEN,34.15,0.382210881775453,58
150,FE,40.59,0.3820871419121794,48
151,EXPD,131.3,0.3775350300529748,15
152,SBAC,389.43,0.37617399121657047,5
153,CARR,52.94,0.3756271875957584,37
154,SNPS,355.13,0.3746092921340967,5
155,CSCO,60.64,0.3732656367519041,32
156,AVY,207.81,0.37250339159649937,9
157,GD,202.5,0.3721585851720985,9
158,CNC,85.57,0.3694624359673753,23
159,AAPL,174.93,0.3669367511454012,11
160,MET,62.72,0.366864803922378,31
161,JPM,158.95,0.3644969443914821,12
162,HLT,142.01,0.3642748016992708,13
163,PNR,71.25,0.3626463881235988,27
164,MCK,238.03,0.362361754035069,8
165,GM,56.57,0.3619753602345259,35
166,CDNS,181.24,0.3617818593742133,10
167,TEL,162.67,0.36052496541438,12
168,CVX,118.9,0.3580178531225675,16
169,XLNX,203.62,0.3560809466478766,9
170,CCI,210.52,0.3560309417989565,9
171,DPZ,531.74,0.355463066879248,3
172,DFS,114.89,0.3516191184802507,17
173,MGM,44.28,0.351367516701335,44
174,TSN,86.84,0.3473607819527,22
175,EL,347.05,0.3461854287042115,5
176,ADM,67.13,0.3457211438352729,29
177,STT,94.86,0.3448543586757879,20
178,NVR,5752.88,0.3441080486596866,0
179,TSLA,941.03,0.3436818009561811,2
180,WELL,86.1,0.3435501870429757,23
181,MSCI,600.61,0.3435379089705536,3
182,AJG,166.5,0.343226385011742,11
183,TROW,200.79,0.3430917220364917,9
184,FFIV,240.0,0.342342315844379,8
185,DXC,31.55,0.3391005648138714,62
186,BLK,953.39,0.3380331350148746,2
187,TGT,225.07,0.3372398629066988,8
188,FOXA,37.67,0.33509189776996134,52
189,IVZ,22.67,0.33353885889365775,87
190,LEN,106.48,0.3334224214427466,18
191,PKI,196.49,0.3313501587499342,10
192,BRK.B,306.08,0.3294066120351439,6
193,VLO,70.63,0.3257884408475269,28
194,DLR,176.04,0.322701892791104,11
195,SLB,29.06,0.3209431908795004,68
196,NTRS,122.15,0.3209182856844273,16
197,AFL,58.57,0.319528461834774,33
198,LUMN,13.09,0.3186423974057818,151
199,PAYX,127.28,0.3184636323283404,15
200,L,57.0,0.31577878280236604,34
201,LIN,347.46,0.3148059741948397,5
202,ADP,234.24,0.3124793878621834,8
203,EXC,55.23,0.3115975981784755,35
204,WMB,26.8,0.3079437620136397,74
205,TRMB,87.4,0.30537742877188,22
206,EVRG,68.59,0.3044115049546125,28
207,DE,358.86,0.3036988677157296,5
208,ABBV,130.43,0.3036245471100189,15
209,TER,160.28,0.3018509091255874,12
210,OTIS,86.06,0.3014158715446725,23
211,HES,74.92,0.3007257639629562,26
212,IFF,146.86,0.2979712004623592,13
213,AMT,280.26,0.294394588607966,7
214,ABC,128.65,0.29307792836101315,15
215,FAST,62.68,0.2924962817929468,31
216,ISRG,344.8,0.2916155454323612,5
217,TFC,59.45,0.2887722946508996,33
218,IR,58.64,0.2880927008647964,33
219,A,156.58,0.28757225730191044,12
220,USB,57.45,0.2865720444671952,34
221,APH,84.27,0.28515618824377387,23
222,HPE,15.51,0.2846926483315832,127
223,ABT,143.64,0.2838888129571283,13
