,Symbol,Stock Price,Market Capitalization,Number of Stocks to Buy
0,MMM,178.5,106478515863,11
1,AOS,87.42,13565445684,22
2,ABT,140.82,243860521452,14
3,ABBV,132.49,234762634176,14
4,ABMD,324.82,14416786135,6
5,ACN,413.73,271865554833,4
6,ATVI,63.862,48778497760,31
7,ADM,66.934,37697362455,29
8,ADBE,576.3,280652369062,3
9,AAP,240.88,15358072741,8
10,AMD,139.37,171500042950,14
11,AES,24.716,16694257953,80
12,AFL,58.745,38196719133,33
13,A,151.59,46048893017,13
14,APD,304.41,69053200151,6
15,AKAM,121.49,19403184443,16
16,ALK,49.09,6308695874,40
17,ALB,230.43,27368843252,8
18,ARE,222.04,34642804576,8
19,ALGN,608.27,48794210064,3
20,ALLE,132.39,12038600960,14
21,LNT,61.0,15624897661,32
22,ALL,119.7,33997240238,16
23,GOOGL,2915.06,2000242404373,0
24,GOOG,2961.59,2017209502772,0
25,MO,47.994,90447350732,41
26,AMZN,3406.1,1794924655182,0
27,AMCR,12.113,18580060554,163
28,AEE,89.8,22833065182,22
29,AAL,17.02,10970014348,116
30,AEP,90.873,45346962249,21
31,AXP,167.3,131352396462,11
32,AIG,57.12,47537564965,34
33,AMT,281.8,128245569759,7
34,AWK,185.02,34498899896,10
35,AMP,314.62,34195755381,6
36,ABC,129.86,26080531893,15
37,AME,149.07,33171803216,13
38,AMGN,232.2,128424790166,8
39,APH,86.96,51020299841,22
40,ADI,175.79,65958158311,11
41,ANSS,402.43,34886456633,4
42,ANTM,455.59,109858468113,4
43,AON,307.74,65561094183,6
44,APA,25.58,9062939050,77
45,AAPL,174.027,2820505650422,11
46,AMAT,151.94,136223399010,13
47,APTV,170.15,44195361596,11
48,ANET,131.5,10504914449,15
49,AJG,168.13,35347121318,11
50,AIZ,158.67,8920361118,12
51,T,24.75,169804788371,80
52,ATO,103.58,13285571382,19
53,ADSK,279.2,59466093264,7
54,ADP,234.02,98858415426,8
55,AZO,2075.5,43359485833,0
56,AVB,246.22,35053189836,8
57,AVY,216.0,17915017552,9
58,BKR,24.647,25063329938,80
59,BLL,95.99,31060553872,20
60,BAC,47.0,371486554185,42
61,BBWI,70.21,17926984488,28
62,BAX,85.0,42863343871,23
63,BDX,268.34,73092850008,7
64,BRK.B,307.83,675263736635,6
65,BBY,101.0,25192641096,19
66,BIO,754.09,22524800377,2
67,TECH,467.44,18872886671,4
68,BIIB,245.29,35955998050,8
69,BLK,961.398,144307100112,2
